PERIOD,ID,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,V_10,V_11,V_12,V_13,V_14,V_15,V_16,V_17,V_18,V_19,V_20,V_21,V_22,V_23,V_24,V_25,V_26,V_27,V_28,V_29,V_30,V_31,V_32,V_33,V_34,V_35,V_36,V_37,V_38,V_39,V_40,V_41,V_42,V_43
3,8,24.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,3.0,173.9,548.98,546.03,2.7,,0.0,,,0.0,0.0,,647.75,640.45,7.3,0.0,0.0,79.0,72.0,3.0,,86.0,80.0,6.0,0.0,0.0,33.5,,1.0,1.20892,33.5,,0.0
1,9,30.0,18.0,11.0,1.0,1.0,0.0,1.0,1.0,0.0,30.0,13.0,164.7,684.42,618.35,64.25,0.0,0.0,1.82,25.0,1.0,0.0,495.941822,978.72,957.0,21.72,0.0,0.0,372.0,338.0,19.0,0.0,484.0,466.0,18.0,0.0,0.0,140.1,3.2225,18.0,451.464486,140.1,0.0,0.0
2,9,31.0,0.0,11.0,1.0,1.0,0.0,1.0,0.0,0.0,31.0,20.0,122.98,860.47,815.63,37.03,0.0,2.65,,25.0,8.0,0.0,0.0,1113.67,1054.03,57.77,0.0,0.9,521.0,475.0,35.0,0.0,614.0,564.0,48.0,0.0,1.0,152.03,9.555401534,0.0,0.0,152.03,0.0,0.0
3,9,31.0,8.0,15.0,1.0,1.0,0.0,1.0,1.0,0.0,31.0,18.0,122.25,,789.97,,0.0,0.0,4.99,33.0,7.0,0.0,68.982324,1016.38,990.15,26.23,0.0,,547.0,484.0,49.0,0.0,545.0,514.0,31.0,0.0,0.0,114.6,4.5325,8.0,48.225313,114.6,1.0,0.20413800000000001
1,10,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.92,89.83,4.08,0.0,0.0,1.0,1.0,0.0,,27.0,23.0,4.0,0.0,,2.0,0.3925,0.0,0.0,2.0,,
2,10,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,,981.102963,86.4,86.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,5.0,879.5044730000001,0.0,0.0,0.0
3,10,4.0,0.0,0.0,1.0,0.0,,0.0,,0.0,1.0,0.0,0.0,21.43,20.92,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,43.58,43.58,0.0,0.0,0.0,5.0,,0.0,0.0,11.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,
1,11,25.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,11.0,86.28,424.48,411.35,13.13,0.0,0.0,0.0,0.0,,0.0,0.0,232.87,230.72,2.15,,0.0,205.0,184.0,21.0,0.0,100.0,98.0,2.0,0.0,0.0,50.2,0.3675,,0.0,50.2,0.0,0.0
2,11,24.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,23.0,6.0,87.55,307.0,275.8,31.2,0.0,0.0,0.0,0.0,0.0,,0.0,205.75,,6.65,0.0,0.0,,157.0,16.0,0.0,,,5.0,0.0,0.0,50.8,1.0025,,0.0,50.8,0.0,0.0
3,11,21.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,21.0,0.0,7.7,57.02,57.02,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,66.47,0.0,0.0,0.0,42.0,42.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,7.0,0.0,,0.0,7.0,0.0,0.0
1,12,30.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,30.0,3.0,220.48,883.8,860.98,22.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.62,521.92,0.7,0.0,0.0,274.0,271.0,3.0,0.0,147.0,,1.0,0.0,0.0,2.0,0.105,0.0,0.0,2.0,,0.0
2,12,31.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,31.0,2.0,268.32,910.47,905.03,5.43,0.0,,0.01,0.0,0.0,0.0,,619.25,619.25,0.0,0.0,0.0,305.0,303.0,2.0,0.0,200.0,,0.0,0.0,0.0,34.0,0.0,0.0,0.0,34.0,0.0,0.0
3,12,31.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,31.0,8.0,211.37,753.37,742.93,10.43,0.0,0.0,0.01,0.0,0.0,0.0,0.0,620.0,568.27,51.73,0.0,,246.0,236.0,10.0,0.0,189.0,185.0,4.0,0.0,0.0,34.5,7.7625,0.0,0.0,34.5,0.0,0.0
1,13,30.0,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,30.0,9.0,77.88,325.27,298.6,,,0.0,0.0,,0.0,0.0,382.348031,1141.2,1084.77,56.43,0.0,0.0,,268.0,17.0,0.0,604.0,573.0,31.0,0.0,0.0,66.0,20.404927604,,,66.0,0.0,0.0
2,13,31.0,31.0,0.0,1.0,1.0,0.0,0.0,,0.0,31.0,10.0,46.95,255.68,238.45,15.93,0.0,0.0,1.3,0.0,0.0,0.0,384.120142,1443.42,1335.28,108.13,0.0,,281.0,265.0,,0.0,689.0,642.0,47.0,0.0,0.0,158.17,16.1825,0.0,0.0,,0.0,0.0
3,13,30.0,31.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,30.0,,54.43,554.88,522.57,,0.0,0.0,,1.0,0.0,0.0,357.061735,1414.62,,141.23,0.0,0.0,331.0,318.0,13.0,0.0,748.0,703.0,44.0,0.0,0.0,81.0,21.025,0.0,0.0,,0.0,
1,14,24.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,23.0,,7.58,83.65,74.92,8.68,0.0,0.0,0.05,0.0,0.0,0.0,2967.70747,105.07,79.3,25.77,0.0,,63.0,52.0,10.0,,87.0,76.0,11.0,0.0,0.0,107.0,3.72,25.0,2404.237301,107.0,4.0,500.041497
2,14,25.0,29.0,0.0,1.0,1.0,,0.0,1.0,0.0,25.0,1.0,6.9,50.32,49.15,1.17,0.0,0.0,,0.0,0.0,0.0,,94.7,90.48,4.22,0.0,0.0,49.0,46.0,3.0,0.0,95.0,90.0,5.0,0.0,0.0,95.0,,27.0,1093.171435,95.0,27.0,767.863877
3,14,29.0,28.0,2.0,1.0,1.0,0.0,1.0,,0.0,28.0,2.0,35.75,,125.37,1.22,0.0,0.0,0.81,3.0,1.0,0.0,6685.824821,142.57,,5.47,0.0,,99.0,90.0,2.0,0.0,,116.0,,0.0,0.0,95.0,0.815,25.0,1380.1021560000002,95.0,22.0,
1,15,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,125.97,302.65,302.22,0.0,0.0,0.0,,0.0,0.0,,0.0,139.92,139.92,0.0,0.0,0.0,102.0,97.0,0.0,0.0,105.0,105.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,58.0,0.0,0.0
2,15,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,28.0,1.0,109.8,243.13,241.83,1.05,0.0,0.0,,0.0,0.0,0.0,0.0,159.17,152.27,6.9,0.0,0.0,111.0,107.0,1.0,0.0,94.0,91.0,3.0,0.0,,57.0,1.04,0.0,0.0,57.0,0.0,
3,15,29.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,29.0,1.0,41.65,,,7.88,0.0,0.0,0.14,0.0,0.0,0.0,0.0,135.92,110.53,20.37,5.02,0.0,87.0,82.0,1.0,0.0,68.0,63.0,4.0,,0.0,57.0,4.71622661966667,0.0,0.0,,0.0,0.0
1,16,14.0,18.0,1.0,1.0,1.0,0.0,1.0,,0.0,11.0,5.0,1.07,35.55,11.78,23.48,0.0,,0.29,1.0,1.0,0.0,1241.06746,177.5,148.82,28.68,0.0,0.0,25.0,12.0,,0.0,43.0,28.0,15.0,0.0,0.0,50.0,4.1325,18.0,1202.574124,50.0,0.0,0.0
2,16,17.0,19.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,17.0,5.0,5.67,97.03,44.62,52.42,0.0,,-0.01,2.0,0.0,0.0,943.3234449999999,154.3,146.87,7.18,0.25,0.0,42.0,36.0,6.0,0.0,61.0,,7.0,,0.0,51.0,2.44309750933333,19.0,826.8436379999999,51.0,,0.0
3,16,14.0,11.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,14.0,1.0,8.8,68.23,58.57,9.67,0.0,0.0,-0.01,0.0,0.0,0.0,306.58493799999997,78.68,,4.57,0.0,0.0,34.0,32.0,2.0,0.0,31.0,25.0,6.0,,,15.0,0.6975,9.0,,15.0,0.0,
1,17,17.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,12.0,,55.35,26.4,,0.0,0.0,0.1,,0.0,0.0,0.0,128.18,88.1,40.08,0.0,,40.0,18.0,21.0,0.0,36.0,13.0,23.0,0.0,0.0,31.6,5.8125,0.0,0.0,,0.0,0.0
2,17,19.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,17.0,17.88,43.2,21.45,18.67,0.0,0.0,3.08,0.0,0.0,0.0,0.0,74.23,49.2,25.03,,0.0,36.0,6.0,27.0,0.0,,10.0,27.0,,0.0,26.95,3.79,0.0,0.0,26.95,0.0,0.0
3,17,4.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,4.95,,3.0,0.0,0.0,1.95,1.0,0.0,0.0,0.0,46.68,,,0.0,0.0,5.0,0.0,4.0,0.0,20.0,8.0,12.0,0.0,0.0,7.5,,0.0,0.0,7.5,0.0,0.0
1,18,29.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,29.0,6.0,,686.15,676.08,9.12,0.0,0.0,0.95,0.0,0.0,0.0,0.0,579.62,,2.47,0.0,0.0,,200.0,10.0,0.0,141.0,138.0,3.0,0.0,0.0,30.0,0.584,0.0,0.0,30.0,0.0,0.0
2,18,31.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,31.0,1.0,75.35,374.97,,0.67,0.0,0.0,0.02,0.0,0.0,0.0,0.0,863.18,858.67,,0.0,0.0,186.0,183.0,2.0,0.0,219.0,216.0,3.0,0.0,0.0,30.0,0.6825,0.0,0.0,30.0,0.0,0.0
3,18,26.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,2.0,94.27,,309.22,1.32,0.0,0.0,1.93,0.0,0.0,0.0,0.0,659.05,629.4,29.65,0.0,0.0,133.0,113.0,3.0,0.0,139.0,,8.0,0.0,,30.0,,0.0,0.0,30.0,0.0,0.0
1,19,8.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,8.0,0.0,1.65,,4.03,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,64.58,64.42,0.17,0.0,0.0,17.0,17.0,0.0,0.0,32.0,31.0,1.0,0.0,0.0,,0.0275,0.0,0.0,0.0,,
2,19,12.0,0.0,2.0,1.0,,0.0,1.0,0.0,0.0,11.0,1.0,0.85,11.72,10.73,0.93,0.0,0.0,0.06,0.0,2.0,0.0,0.0,77.32,,0.38,0.0,0.0,26.0,23.0,1.0,0.0,33.0,32.0,1.0,0.0,0.0,11.5,0.06,0.0,0.0,11.5,0.0,0.0
3,19,12.0,0.0,,1.0,,0.0,0.0,,0.0,10.0,0.0,,27.23,24.52,0.0,0.0,,2.71,0.0,0.0,0.0,0.0,179.63,179.63,,0.0,,26.0,20.0,0.0,,43.0,43.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0
1,20,,30.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,26.0,4.0,19.92,155.38,150.38,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,408.13,362.35,37.12,8.67,0.0,,65.0,5.0,0.0,136.0,107.0,27.0,2.0,0.0,121.5,15.45690632,23.0,109.223355,121.5,0.0,0.0
2,20,17.0,31.0,2.0,1.0,,0.0,1.0,1.0,0.0,15.0,5.0,14.35,66.43,53.92,12.52,0.0,0.0,-0.01,2.0,0.0,0.0,1689.534054,242.65,199.17,,10.7,0.0,44.0,34.0,10.0,,,57.0,10.0,2.0,0.0,98.5,30.460407712,12.0,41.053385,98.5,0.0,0.0
3,20,18.0,31.0,0.0,1.0,1.0,0.0,,1.0,0.0,17.0,3.0,4.87,77.53,68.77,6.07,0.0,,2.69,0.0,,0.0,1719.3501190000002,190.72,183.37,7.35,0.0,0.0,36.0,31.0,3.0,0.0,65.0,52.0,13.0,0.0,0.0,130.99,0.78,14.0,87.78128000000001,130.99,0.0,0.0
1,21,29.0,,5.0,1.0,0.0,0.0,1.0,1.0,0.0,29.0,0.0,49.62,469.38,468.52,0.0,,0.0,0.86,5.0,0.0,1.0,994.5435570000001,456.03,454.15,1.88,0.0,0.0,149.0,,0.0,0.0,211.0,205.0,6.0,0.0,0.0,103.92,0.2875,28.0,935.639348,103.92,0.0,0.0
2,21,22.0,21.0,,1.0,1.0,1.0,1.0,1.0,0.0,21.0,3.0,171.45,668.32,,21.87,0.03,3.45,2.0,3.0,0.0,0.0,456.835339,336.55,327.88,,0.0,0.0,158.0,137.0,4.0,1.0,140.0,133.0,7.0,,0.0,191.05,0.675,19.0,386.077445,,0.0,0.0
3,21,31.0,29.0,10.0,1.0,1.0,0.0,1.0,1.0,0.0,31.0,6.0,,1080.38,1042.02,34.22,,0.0,4.14,14.0,0.0,0.0,655.0672549999999,,,,0.0,0.0,333.0,286.0,,0.0,325.0,316.0,9.0,0.0,0.0,154.29,309.776832031187,,602.793999,154.29,0.0,0.0
1,22,,0.0,1.0,1.0,1.0,0.0,,0.0,3.0,29.0,2.0,64.88,280.75,276.33,4.42,0.0,0.0,0.0,2.0,0.0,0.0,0.0,237.57,232.32,5.25,0.0,0.0,147.0,145.0,2.0,0.0,138.0,132.0,,0.0,0.0,47.5,0.7975,0.0,0.0,47.5,,0.0
2,22,29.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,29.0,6.0,50.4,,372.93,,0.0,0.0,,1.0,0.0,,0.0,333.77,257.23,,0.0,0.0,236.0,226.0,10.0,0.0,204.0,175.0,29.0,0.0,0.0,51.0,11.5175,,0.0,51.0,0.0,0.0
3,22,31.0,0.0,0.0,1.0,,0.0,0.0,0.0,3.0,31.0,5.0,52.32,295.48,293.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.32,,6.25,0.0,0.0,186.0,180.0,6.0,0.0,183.0,175.0,8.0,0.0,0.0,39.0,0.94,0.0,0.0,39.0,0.0,0.0
1,23,30.0,0.0,28.0,1.0,1.0,0.0,1.0,0.0,0.0,30.0,13.0,168.17,757.7,707.02,50.35,0.0,0.0,0.33,201.0,0.0,0.0,0.0,1162.1,1119.43,36.0,6.67,0.0,332.0,295.0,32.0,0.0,433.0,405.0,27.0,1.0,0.0,102.9,112.410237071667,0.0,,102.9,,0.0
2,23,31.0,0.0,28.0,1.0,1.0,0.0,1.0,0.0,0.0,31.0,9.0,,765.9,753.55,11.82,0.0,0.0,0.53,110.0,2.0,0.0,0.0,1106.05,1072.4,33.65,0.0,0.0,386.0,370.0,14.0,,508.0,482.0,26.0,0.0,0.0,98.26,5.0825,0.0,0.0,98.26,,0.0
3,23,31.0,0.0,22.0,1.0,1.0,0.0,1.0,0.0,0.0,31.0,11.0,105.02,794.65,762.07,32.57,0.0,0.0,0.01,76.0,2.0,0.0,0.0,1034.65,998.93,35.72,0.0,0.0,379.0,,,0.0,479.0,453.0,26.0,0.0,0.0,,5.3875,2.0,0.244696,101.71,0.0,
1,24,28.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,28.0,1.0,139.27,568.78,567.08,0.1,,0.0,1.6,0.0,0.0,,0.0,395.92,387.75,5.97,2.2,0.0,,104.0,1.0,0.0,,,1.0,1.0,0.0,55.0,,0.0,0.0,55.0,0.0,0.0
2,24,28.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,27.0,1.0,148.5,450.83,448.43,0.18,0.38,0.0,1.84,0.0,0.0,0.0,0.0,344.17,339.5,4.67,0.0,0.0,102.0,88.0,1.0,,66.0,65.0,1.0,0.0,0.0,58.5,0.7025,0.0,0.0,58.5,0.0,0.0
3,24,30.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,29.0,4.0,120.12,495.92,455.45,39.25,0.18,,1.04,0.0,0.0,0.0,,316.52,284.63,31.88,,0.0,128.0,103.0,5.0,1.0,54.0,52.0,2.0,,0.0,60.9,4.7875,0.0,0.0,60.9,0.0,0.0
1,25,30.0,4.0,1.0,1.0,,0.0,1.0,1.0,0.0,30.0,3.0,194.55,619.87,,1.78,0.0,0.0,10.04,0.0,1.0,0.0,223.21871000000002,304.68,295.48,9.2,0.0,0.0,290.0,271.0,3.0,0.0,159.0,152.0,7.0,0.0,0.0,57.0,1.766,,222.375125,57.0,0.0,0.0
2,25,31.0,26.0,0.0,1.0,,0.0,0.0,1.0,0.0,31.0,9.0,140.77,441.95,432.67,7.38,0.0,0.0,,0.0,0.0,0.0,1092.045699,441.98,435.07,6.92,0.0,0.0,250.0,218.0,12.0,,125.0,119.0,6.0,0.0,0.0,57.0,1.20383333333333,26.0,943.347926,57.0,0.0,0.0
3,25,31.0,31.0,1.0,1.0,1.0,0.0,,1.0,0.0,31.0,4.0,91.97,373.88,368.83,2.72,0.0,0.0,,1.0,0.0,0.0,1533.35032,327.65,318.62,9.03,0.0,0.0,192.0,173.0,5.0,0.0,116.0,,6.0,0.0,,58.5,1.5175,31.0,1531.025107,58.5,0.0,0.0
1,26,27.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,18.0,22.0,41.37,332.32,104.87,224.2,0.0,0.0,3.25,0.0,0.0,0.0,2605.072178,306.33,182.18,124.15,0.0,0.0,87.0,25.0,59.0,0.0,82.0,32.0,50.0,0.0,0.0,146.9,18.76,29.0,2446.7035260000002,146.9,0.0,0.0
2,26,26.0,25.0,,1.0,1.0,0.0,,1.0,,23.0,9.0,29.5,193.13,155.35,29.13,0.0,0.0,8.65,0.0,0.0,0.0,2295.313506,284.32,236.83,,,0.0,76.0,54.0,13.0,0.0,74.0,53.0,20.0,,0.0,132.5,7.0225,25.0,2232.881582,132.5,0.0,0.0
3,26,20.0,25.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,6.0,4.3,94.83,83.98,10.2,0.0,0.0,0.65,1.0,0.0,0.0,2763.38785,,293.58,41.0,0.0,0.0,,41.0,7.0,0.0,85.0,,18.0,0.0,0.0,112.0,6.2,,2487.204456,112.0,0.0,0.0
1,27,30.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,30.0,0.0,289.88,1151.37,1151.0,,0.0,0.0,0.37,0.0,0.0,3.0,0.120235,902.48,880.45,0.0,22.03,0.0,185.0,180.0,0.0,0.0,143.0,134.0,0.0,,0.0,51.6,77.7270977810833,0.0,0.0,51.6,0.0,0.0
2,27,30.0,1.0,,1.0,0.0,0.0,1.0,1.0,0.0,30.0,0.0,378.23,1027.58,1027.02,0.0,0.0,0.0,0.56,,0.0,3.0,0.001809,1056.27,1017.35,0.4,38.52,0.0,,134.0,0.0,0.0,128.0,121.0,1.0,6.0,0.0,71.6,154.44150887805299,0.0,0.0,71.6,0.0,0.0
3,27,31.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,31.0,0.0,176.1,854.78,,0.0,0.0,0.0,0.63,0.0,0.0,0.0,3.5877,668.78,651.97,4.88,11.93,0.0,169.0,163.0,0.0,0.0,144.0,137.0,3.0,4.0,0.0,45.0,51.309766516545,,0.0,45.0,0.0,0.0
